Date,Close/Last,Open,High,Low
05/13/2025,179.444,179.29,179.9129,177.9484
05/12/2025,179.1469,184.0697,186.0736,178.2424
05/09/2025,192.5014,188.613,192.5014,186.7788
05/08/2025,186.0928,188.5186,189.8192,186.0152
05/07/2025,189.2952,187.7101,190.9113,187.5857
05/06/2025,191.7318,187.2525,191.9455,186.4949
05/05/2025,184.4153,182.763,184.8556,181.6262
05/02/2025,179.3836,182.5921,183.1986,178.1378
05/01/2025,180.7765,183.93,183.93,179.6075
04/30/2025,187.4879,185.0223,187.5706,184.2741
04/29/2025,185.3823,186.93,187.6755,184.8098
04/28/2025,187.7769,185.1122,187.8469,184.1091
04/25/2025,186.0046,186.4591,186.669,184.2603
04/24/2025,189.3863,187.7269,189.6012,186.0153
04/23/2025,185.9837,186.0087,187.4156,182.1272
04/22/2025,189.7042,193.955,194.9112,189.0293
04/21/2025,193.0365,195.5186,197.6539,190.2905
04/17/2025,191.4927,193.8719,194.1613,190.1443
04/16/2025,195.3344,194.1709,199.4087,193.5692
04/15/2025,190.9839,191.362,191.6674,189.1216
04/14/2025,189.7144,185.7671,190.5998,183.8363
04/11/2025,188.0088,182.6809,189.6495,182.6809
04/10/2025,177.2843,172.1774,179.6326,171.9545
04/09/2025,171.0231,161.3071,172.4428,161.3071
04/08/2025,156.9697,162.2661,165.1732,155.3471
04/07/2025,158.419,154.0068,166.3576,151.9616
04/04/2025,157.757,171.4895,171.5356,156.6901
04/03/2025,174.8553,173.137,178.35,171.4442
04/02/2025,177.9187,176.9302,178.0468,174.5024
04/01/2025,177.3087,177.4763,178.4503,175.2394
03/31/2025,177.1414,176.9989,177.7752,171.8603
03/28/2025,176.6391,180.5926,182.2814,176.153
03/27/2025,178.6648,176.7406,179.2357,175.4424
03/26/2025,175.2407,177.7116,178.0468,174.7676
03/25/2025,177.105,176.1326,179.5014,176.1326
03/24/2025,174.2644,174.438,175.9897,174.0721
03/21/2025,174.2219,174.8866,175.018,171.5877
03/20/2025,176.5242,174.5089,177.5383,174.0241
03/19/2025,176.4725,175.3239,177.2469,174.0395
03/18/2025,175.1925,176.327,177.895,174.9166
03/17/2025,174.1006,170.2205,174.3694,170.2205
03/14/2025,169.3809,169.9161,170.3626,167.9254
03/13/2025,167.8113,164.1036,169.8605,163.8009
03/12/2025,163.465,161.5333,164.2978,161.0462
03/11/2025,162.1513,158.4085,162.8421,158.4085
03/10/2025,156.2906,160.335,161.0433,154.8665
03/07/2025,161.5865,161.1125,164.8457,159.1139
03/06/2025,160.6239,160.9525,163.4515,159.5356
03/05/2025,162.312,155.9656,162.4287,155.6308
03/04/2025,155.6873,156.3764,157.502,152.482
03/03/2025,154.4198,157.854,159.7732,153.6954
02/28/2025,155.3182,152.4163,155.3692,150.8359
02/27/2025,154.4581,157.8657,158.8836,154.3351
02/26/2025,160.4873,156.3592,161.5378,156.1761
02/25/2025,157.4645,158.6644,158.8683,154.4905
02/24/2025,159.7012,159.5982,160.4238,156.7857
02/21/2025,158.5652,162.933,163.0625,158.4245
02/20/2025,165.2096,163.2035,166.7084,163.2035
02/19/2025,162.5095,161.6492,162.9585,160.2484
02/18/2025,163.2174,162.5529,163.6086,161.1885
02/14/2025,161.1782,167.8367,167.9119,160.9462
02/13/2025,167.393,165.8733,167.6957,163.9152
02/12/2025,165.6782,161.4215,166.8332,161.413
02/11/2025,162.5251,163.2474,164.5592,162.5067
02/10/2025,165.3175,164.6803,165.6989,164.1582
02/07/2025,161.016,162.956,164.4742,160.8053
02/06/2025,161.7117,161.3109,161.7455,160.1214
02/05/2025,162.1203,160.3981,163.8821,160.3981
02/04/2025,158.0551,157.1846,158.7585,156.7492
02/03/2025,156.2611,154.0469,157.5486,153.7517
01/31/2025,153.9925,156.6356,156.9251,153.3785
01/30/2025,156.0572,152.7576,157.1321,152.5413
01/29/2025,150.0457,149.0978,151.3757,148.1305
01/28/2025,148.9084,148.3514,149.1754,146.9758
01/27/2025,147.7464,148.7282,148.7282,145.9886
01/24/2025,150.8937,151.5559,152.1844,150.0986
01/23/2025,148.9622,147.7057,148.9933,146.0046
01/22/2025,149.3899,151.2304,151.4752,148.7005
01/21/2025,150.163,148.7489,151.6396,148.7489
01/17/2025,147.0397,145.142,147.9815,144.4041
01/16/2025,146.0245,147.9694,148.2835,145.9063
01/15/2025,146.8532,147.9552,147.9552,144.7481
01/14/2025,146.081,142.8914,146.2278,142.6101
01/13/2025,142.3794,143.4408,143.4408,141.3631
01/10/2025,145.3163,147.3773,149.1828,144.5832
01/08/2025,145.4179,142.4482,145.6048,142.0482
01/07/2025,141.9368,142.1351,144.9073,141.0156
01/06/2025,140.0861,142.3456,142.6352,140.0001
01/03/2025,141.465,142.6186,142.9206,141.4505
01/02/2025,142.9582,139.4812,143.4276,139.4665
12/31/2024,137.18,136.198,137.6327,135.8962
12/30/2024,136.24,137.2212,137.4648,135.255
12/27/2024,138.818,137.7854,139.1476,137.3476
12/26/2024,139.9088,139.7688,140.9154,139.3645
12/24/2024,139.6836,139.7924,139.7924,138.5374
12/23/2024,139.3855,138.3734,139.6677,137.2686
12/20/2024,139.2234,137.9468,140.8428,137.8215
12/19/2024,137.435,138.9748,140.188,136.9813
12/18/2024,138.4451,144.5016,144.8494,138.0095
12/17/2024,145.2566,144.6814,145.7917,143.559
12/16/2024,146.4362,147.8614,147.8614,146.0781
12/13/2024,147.9161,149.9786,150.3967,146.9907
12/12/2024,151.5417,154.3059,154.7335,151.5014
12/11/2024,157.3062,153.0256,157.3812,152.7716
12/10/2024,151.988,153.7526,154.4261,151.8782
12/09/2024,152.2891,150.9918,156.0152,150.9918
12/06/2024,147.7172,150.0325,150.0427,147.2129
12/05/2024,150.6402,151.4794,152.6773,149.3063
12/04/2024,151.492,152.0452,153.5492,151.2464
12/03/2024,152.4573,149.9846,153.698,149.9846
12/02/2024,147.8804,149.5333,149.6628,147.3308
11/29/2024,150.4701,150.6629,151.8187,150.164
11/27/2024,149.7662,150.743,151.8318,149.3309
11/26/2024,149.8164,148.6912,149.919,147.676
11/25/2024,149.1399,149.4619,149.7487,148.2888
11/22/2024,153.6895,154.0969,154.6329,152.824
11/21/2024,153.412,153.0779,153.4405,151.276
11/20/2024,151.6584,151.445,152.1797,150.8498
11/19/2024,152.2228,150.6431,152.2863,149.4851
11/18/2024,149.135,145.9099,149.7586,145.9099
11/15/2024,143.1617,145.4863,145.9637,142.7253
11/14/2024,144.6481,142.3466,145.4549,142.3466
11/13/2024,143.4214,146.7366,147.228,143.4058
11/12/2024,145.5567,146.9731,147.2197,143.4898
11/11/2024,147.7819,150.9943,152.2574,145.738
11/08/2024,156.7269,157.7245,158.4953,155.1571
11/07/2024,159.2543,157.3526,159.92,156.0677
11/06/2024,155.9359,155.2198,156.6937,152.8045
11/05/2024,159.8404,160.5706,161.2915,158.9445
11/04/2024,159.0035,160.0988,160.7687,158.3008
11/01/2024,159.2791,162.2683,163.0058,159.2134
10/31/2024,161.1976,164.0129,164.0129,159.6503
10/30/2024,166.4435,168.073,168.0759,164.7134
10/29/2024,168.6609,167.206,168.9595,166.3587
10/28/2024,165.9341,165.5032,166.9533,165.3332
10/25/2024,166.2888,168.089,168.7615,165.8294
10/24/2024,169.4446,173.121,173.1245,166.2714
10/23/2024,172.4323,172.5796,173.7335,170.8747
10/22/2024,175.7432,173.9897,175.9448,173.694
10/21/2024,172.171,173.8477,175.0626,171.6061
10/18/2024,171.3122,165.3727,171.9735,165.0555
10/17/2024,163.6776,163.1405,165.0839,162.4366
10/16/2024,162.1044,162.5047,164.5774,161.5271
10/15/2024,160.6269,159.1086,160.6935,158.1216
10/14/2024,159.314,158.5478,159.4854,157.6077
10/11/2024,159.485,159.9216,161.3408,159.385
10/10/2024,158.7674,155.2414,158.8793,154.4984
10/09/2024,154.4712,153.6836,154.5404,152.1741
10/08/2024,154.8137,154.6174,154.8493,152.8239
10/07/2024,155.9169,156.8823,156.8823,155.1114
10/04/2024,158.0734,158.5649,160.5471,157.7011
10/03/2024,158.7587,159.4755,159.5047,157.3228
10/02/2024,161.4827,161.2068,163.1436,160.3923
10/01/2024,161.2783,160.6663,162.4302,159.3437
09/30/2024,158.7187,160.3672,160.7033,157.2808
09/27/2024,162.2461,166.7541,167.0457,162.0888
09/26/2024,167.3728,166.1639,168.7127,165.9084
09/25/2024,164.9917,164.9451,166.6444,164.4436
09/24/2024,165.1793,161.7453,166.0249,160.7369
09/23/2024,160.4253,161.8143,164.0853,160.4253
09/20/2024,161.1124,160.5737,161.8029,159.7286
09/19/2024,158.7479,160.0012,160.1027,157.4597
09/18/2024,156.6079,159.1406,163.8183,156.5218
09/17/2024,158.4814,158.6438,160.2792,157.758
09/16/2024,159.6604,160.4626,161.0737,158.5779
09/13/2024,160.3876,158.7946,161.0858,158.7566
09/12/2024,156.6854,150.6575,157.5508,150.6237
09/11/2024,148.701,146.4278,148.8188,145.2245
09/10/2024,147.3206,145.5502,147.3823,144.2049
09/09/2024,145.3653,144.3852,145.9971,144.3852
09/06/2024,143.7648,147.5244,148.1281,143.3844
09/05/2024,147.8285,149.0275,149.9625,147.6639
09/04/2024,146.5678,146.6465,148.3471,145.8859
09/03/2024,147.466,152.0812,152.1335,146.4342
08/30/2024,153.9078,154.281,154.9996,152.7409
08/29/2024,154.883,154.0235,155.8214,153.9813
08/28/2024,153.1156,154.6978,154.7138,151.9507
08/27/2024,156.8719,155.6215,156.9258,154.9081
08/26/2024,157.2413,158.5252,158.6709,156.7599
08/23/2024,157.2705,156.4523,158.0831,155.4465
08/22/2024,155.2559,156.5475,156.6962,154.1983
08/21/2024,158.9294,157.7947,159.3477,156.5183
08/20/2024,157.9884,158.8396,159.9901,157.0654
08/19/2024,156.7049,153.1233,156.9519,153.0744
08/16/2024,153.5291,151.2718,153.6871,150.8002
08/15/2024,149.8121,149.1417,150.5259,147.1173
08/14/2024,148.4823,148.4454,148.7245,146.4026
08/13/2024,149.133,146.5824,149.7788,146.5284
08/12/2024,146.8972,143.1052,147.7355,143.0923
08/09/2024,142.2059,141.8901,142.2681,139.6736
08/08/2024,140.9874,138.733,142.1464,138.0863
08/07/2024,137.9177,143.9932,144.0151,137.5326
08/06/2024,142.182,139.6547,143.5571,139.1521
08/05/2024,140.3931,138.9207,141.2454,134.344
08/02/2024,145.5083,151.1689,152.0014,144.3367
08/01/2024,149.4045,152.1702,153.6201,147.6538
07/31/2024,152.3304,151.8377,153.1154,150.6192
07/30/2024,148.4753,148.2886,148.9946,146.6904
07/29/2024,147.8174,147.3487,147.9903,145.4274
07/26/2024,146.7755,147.6809,148.1257,146.3438
07/25/2024,145.7499,146.1012,147.1116,144.2902
07/24/2024,149.3664,151.9609,153.7729,149.2845
07/23/2024,150.7148,150.1967,150.9215,149.0757
07/22/2024,150.3158,149.3158,150.7039,148.2352
07/19/2024,149.8947,148.7432,150.9198,147.7382
07/18/2024,151.6758,155.0698,155.0704,150.697
07/17/2024,154.6773,157.7879,158.4612,154.6335
07/16/2024,157.7015,154.1359,157.7337,153.1391
07/15/2024,152.8167,153.4702,154.6866,151.4176
07/12/2024,153.7328,152.2655,154.1512,151.764
07/11/2024,153.2017,152.5192,153.5058,149.3584
07/10/2024,149.3229,147.0293,149.6439,146.9986
07/09/2024,145.3155,145.681,146.3652,144.5753
07/08/2024,145.5907,144.283,145.6623,143.2174
07/05/2024,145.7074,143.8836,146.7137,143.8303
07/03/2024,142.1137,139.1576,143.0275,139.1576
07/02/2024,137.1683,136.3783,138.1081,135.5542
07/01/2024,136.2031,137.8467,138.8792,136.2031
06/28/2024,137.3693,139.13,139.6669,136.458
06/27/2024,138.0412,138.5097,139.1133,137.9122
06/26/2024,137.0368,135.678,137.3902,135.3213
06/25/2024,136.6807,137.4505,137.5199,136.5896
06/24/2024,138.2089,138.6851,139.6776,137.8894
06/21/2024,137.6626,138.90,138.9054,136.4441
06/20/2024,139.1653,137.201,139.8557,136.8016
06/18/2024,135.6973,133.9351,136.3822,133.4059
06/17/2024,133.9336,134.3079,134.6369,132.5114
06/14/2024,135.0053,135.0739,135.31,133.3495
06/13/2024,134.1092,137.0228,137.7119,133.6206
06/12/2024,137.6663,139.7915,140.7939,137.0983
06/11/2024,136.714,136.8552,136.8905,135.1388
06/10/2024,138.1761,136.6754,138.1871,135.5716
06/07/2024,136.1956,140.7346,141.1632,135.8412
06/06/2024,145.3785,141.1645,145.4567,140.9421
06/05/2024,140.8302,139.2782,141.0528,138.2573
06/04/2024,138.6537,142.5612,142.6822,137.7484
06/03/2024,145.0652,145.3829,145.723,144.0974
05/31/2024,145.1583,146.7533,147.422,143.5931
05/30/2024,145.9187,144.3359,146.9448,144.3359
05/29/2024,144.2858,145.9592,146.5871,144.1561
05/28/2024,147.3733,146.4639,147.7662,145.6419
05/24/2024,143.4659,143.1712,144.504,143.1022
05/23/2024,141.8435,144.2056,144.866,141.4505
05/22/2024,144.6997,148.9377,148.9537,144.0232
05/21/2024,150.499,150.2752,151.2349,149.4333
05/20/2024,151.3582,150.1593,152.0181,148.2982
05/17/2024,149.2254,146.4869,149.2743,145.6024
05/16/2024,143.8152,143.7784,144.7745,142.7285
05/15/2024,144.6737,144.5779,145.3493,141.6261
05/14/2024,143.0975,141.9166,143.1771,141.3545
05/13/2024,141.0421,141.706,143.1772,140.2088
05/10/2024,142.237,144.0817,144.4716,142.1786
05/09/2024,142.1687,139.1682,142.5332,139.1682
05/08/2024,137.6986,136.4699,138.7579,136.3836
05/07/2024,137.7494,136.9684,138.1559,136.9305
05/06/2024,137.6656,137.581,138.5444,137.1901
05/03/2024,134.5566,135.1834,135.8817,133.4329
05/02/2024,134.2999,133.2583,135.1518,132.4004
05/01/2024,134.2447,134.7473,137.7567,133.3176
04/30/2024,133.4474,136.2881,136.9339,133.3845
04/29/2024,139.7789,139.2677,140.3247,136.9476
04/26/2024,138.6752,139.1297,139.5139,137.3633
04/25/2024,137.22,132.6092,138.0025,132.0133
04/24/2024,133.0532,132.3727,133.1674,131.788
04/23/2024,132.8568,129.6705,133.208,129.6705
04/22/2024,131.0103,132.6216,133.1639,130.083
04/19/2024,136.0103,135.0568,136.7201,134.8813
04/18/2024,135.2866,136.1491,136.6554,134.3593
04/17/2024,134.7263,134.176,136.4545,133.1214
04/16/2024,132.945,132.6142,133.7652,130.5978
04/15/2024,134.7145,137.0162,137.2273,133.6102
04/12/2024,136.1106,141.2454,143.838,135.1643
04/11/2024,138.6908,138.1941,138.8839,135.5823
04/10/2024,136.7924,135.5348,138.0982,134.462
04/09/2024,138.6206,138.1261,140.1528,137.4058
04/08/2024,135.6542,137.871,138.4269,134.5684
04/05/2024,136.3455,132.2255,136.756,132.2052
04/04/2024,132.6358,133.8544,134.6163,132.3771
04/03/2024,134.3296,130.507,134.5469,130.507
04/02/2024,130.5791,129.5721,130.778,129.0085
04/01/2024,128.8041,129.5953,130.3535,127.7639
03/28/2024,127.0014,124.8415,127.2531,124.4468
03/27/2024,123.7289,119.8313,123.7459,119.8313
03/26/2024,119.4572,121.6844,121.7881,119.4296
03/25/2024,120.0281,120.3268,122.2267,119.909
03/22/2024,119.2108,119.8871,121.0135,119.1937
03/21/2024,120.8515,122.8295,124.0206,120.8019
03/20/2024,121.3242,116.5127,122.4136,116.5127
03/19/2024,116.8269,118.1995,118.3194,116.7111
03/18/2024,119.3566,119.6816,120.3166,119.194
03/15/2024,120.5047,119.4122,120.9359,119.1225
03/14/2024,119.6864,119.8159,120.4616,118.9431
03/13/2024,121.3526,118.5649,121.9902,118.5649
03/12/2024,118.0789,117.5563,118.238,116.5134
03/11/2024,119.989,117.1715,120.526,117.1715
03/08/2024,117.3557,118.253,118.5638,116.8371
03/07/2024,117.523,116.3558,117.5527,116.1596
03/06/2024,115.2761,113.9549,116.5738,113.9549
03/05/2024,113.0061,114.1265,114.8624,112.7423
03/04/2024,112.9877,109.9913,113.0237,109.7986
03/01/2024,108.6492,105.9503,109.0357,104.9438
02/29/2024,105.372,104.9533,106.361,104.8287
02/28/2024,102.9405,103.7516,103.7991,102.6021
02/27/2024,104.3898,105.6592,105.8838,104.3898
02/26/2024,105.1938,105.2572,105.2686,104.239
02/23/2024,106.7229,104.8367,106.9234,103.9159
02/22/2024,104.8473,106.5367,106.618,104.7356
02/21/2024,107.043,107.1437,107.1444,105.7607
02/20/2024,107.8375,108.3966,108.8686,107.1926
02/16/2024,107.8594,107.4106,108.9401,106.8919
02/15/2024,107.4949,105.5397,108.4971,105.5397
02/14/2024,104.2731,103.8202,104.2991,102.8552
02/13/2024,103.7045,107.6499,107.6556,102.8516
02/12/2024,110.5455,109.2897,111.045,109.2133
02/09/2024,109.3202,110.1144,110.1144,108.6738
02/08/2024,110.5123,111.0135,111.2168,110.2712
02/07/2024,111.6996,112.4837,112.8675,111.4585
02/06/2024,112.8952,111.7985,113.2057,111.6658
02/05/2024,111.4853,112.2029,112.5816,110.6464
02/02/2024,114.063,115.0105,115.1631,112.4969
02/01/2024,117.5389,114.5715,117.718,114.525
01/31/2024,113.5418,114.4775,116.2593,113.3219
01/30/2024,114.1887,115.1416,115.727,113.5128
01/29/2024,115.1416,114.4246,115.3547,113.0824
01/26/2024,113.741,114.4739,115.1897,113.5783
01/25/2024,114.1637,113.8626,114.6392,113.1933
01/24/2024,112.7004,116.908,117.2254,112.6597
01/23/2024,115.1759,113.6692,115.3435,113.5275
01/22/2024,112.6979,111.6423,113.2492,111.2261
01/19/2024,112.9372,112.9417,113.0175,111.4314
01/18/2024,112.6543,112.9834,113.0465,112.0491
01/17/2024,112.7757,113.9658,113.9658,112.2167
01/16/2024,115.9031,118.8305,118.8724,115.7742
01/12/2024,120.6427,120.3148,122.7228,120.0783
01/11/2024,117.4414,118.6851,119.1221,116.2039
01/10/2024,118.5516,118.661,119.0221,117.4616
01/09/2024,118.6564,120.2029,120.2913,118.2419
01/08/2024,120.5398,118.4427,120.9455,118.3703
01/05/2024,120.2964,120.1857,122.6065,119.5507
01/04/2024,120.6114,119.9755,121.0013,118.8864
01/03/2024,120.3193,121.1185,121.1642,119.4515
01/02/2024,123.5865,125.2807,126.3035,123.2774
12/29/2023,125.6949,125.4695,126.2247,124.3704
12/28/2023,126.5371,128.9505,129.4187,126.4848
12/27/2023,129.5807,129.0123,130.3927,128.8893
12/26/2023,128.3038,128.4887,128.9701,127.5224
12/22/2023,127.9384,129.0411,130.916,127.8087
12/21/2023,126.9481,126.45,127.5919,126.3106
12/20/2023,124.9015,127.8255,127.9618,124.851
12/19/2023,127.7519,124.8559,128.6081,124.5159
12/18/2023,124.193,124.4367,124.7844,123.2232
12/15/2023,123.7632,123.8912,124.8498,122.881
12/14/2023,124.2549,123.2416,126.4003,123.1006
12/13/2023,121.0491,113.6623,121.1082,113.4382
12/12/2023,113.9294,116.9779,117.0207,113.6261
12/11/2023,117.0533,116.3461,117.1844,115.19
12/08/2023,118.0913,117.5053,119.4643,116.9036
12/07/2023,119.5148,120.2471,120.3775,118.5723
12/06/2023,120.0032,121.1281,121.9503,119.9484
12/05/2023,120.0778,121.8797,121.9056,119.1923
12/04/2023,122.4502,123.2191,123.7718,121.55
12/01/2023,125.7954,123.13,125.9395,122.8237
11/30/2023,123.35,122.3593,123.4302,121.63
11/29/2023,123.047,122.9762,123.5039,122.1978
11/28/2023,123.398,119.9477,123.4305,119.4002
11/27/2023,118.5702,118.134,119.051,117.1639
11/24/2023,116.666,116.0243,117.5158,116.0243
11/22/2023,116.0162,116.0378,116.3409,115.0339
11/21/2023,115.4847,114.7793,117.2604,114.7752
11/20/2023,113.0849,111.8213,113.2008,111.316
11/17/2023,112.9161,114.0142,114.4261,112.6166
11/16/2023,113.3548,112.0234,115.1344,112.0234
11/15/2023,111.5783,112.1666,112.606,110.9605
11/14/2023,112.123,109.05,112.7346,108.6196
11/13/2023,106.7207,107.537,108.3945,106.6965
11/10/2023,107.8898,108.4543,108.5213,106.946
11/09/2023,108.8923,109.0306,111.4768,108.0479
11/08/2023,109.1608,111.5091,112.0239,108.6509
11/07/2023,112.3323,113.4915,113.7077,110.37
11/06/2023,115.0481,115.8665,116.4045,114.9601
11/03/2023,116.2481,112.9168,117.3528,112.908
11/02/2023,111.5427,111.5922,112.0267,110.1925
11/01/2023,110.6942,111.704,111.7705,109.0799
10/31/2023,111.2504,113.054,113.9756,110.3337
10/30/2023,113.7032,115.2847,115.6091,113.1779
10/27/2023,115.0735,113.5176,115.1391,111.7143
10/26/2023,112.8933,113.9931,114.2438,111.2465
10/25/2023,113.8262,115.0534,116.7453,113.8262
10/24/2023,115.7182,114.3582,116.0423,114.3409
10/23/2023,115.593,115.5831,116.7575,112.9003
10/20/2023,116.3305,116.9921,118.9585,116.2802
10/19/2023,116.4786,116.3092,116.8789,114.8878
10/18/2023,116.5791,118.5336,119.3207,116.1962
10/17/2023,117.2196,114.6331,117.2393,114.356
10/16/2023,114.7301,113.9958,115.4954,113.5108
10/13/2023,114.3455,112.6142,114.97,112.4732
10/12/2023,109.593,112.0427,112.3297,108.9775
10/11/2023,112.075,111.5349,112.1027,110.4958
10/10/2023,109.8483,109.4676,110.1463,108.8212
10/09/2023,108.938,108.6702,109.3183,108.1838
10/06/2023,106.6562,104.7135,107.3863,104.2709
10/05/2023,104.3724,103.0496,104.3724,102.7731
10/04/2023,103.3142,104.1241,104.3081,102.4355
10/03/2023,104.2188,102.9798,104.8167,102.3931
10/02/2023,103.5299,105.8617,105.8617,102.9861
09/29/2023,107.4776,109.5928,109.9293,106.4979
09/28/2023,107.8573,107.1593,107.9135,106.3816
09/27/2023,107.1889,109.3834,109.4897,106.1203
09/26/2023,110.0503,112.5647,112.5665,110.0312
09/25/2023,113.4079,113.6039,114.0059,112.2754
09/22/2023,114.5751,116.2769,116.9539,114.5223
09/21/2023,115.0942,115.4733,116.3324,114.666
09/20/2023,118.0547,117.3171,119.6512,117.2577
09/19/2023,116.9369,119.1734,119.1922,116.6789
09/18/2023,118.9308,118.7974,119.3618,117.6781
09/15/2023,118.6749,117.4633,119.3442,117.4633
09/14/2023,116.3841,114.9139,117.2705,114.8868
